arxiv_id,funder,grant_id,method,context
2601.00055,HST,GO 17502,llm,
2601.00055,HST,AR 17572,llm,
2601.00055,NASA,2107,llm,
2601.00055,NASA,15654,llm,
2601.00055,NASA,NAS 5-03127,llm,
2601.00055,NASA,5-26555,llm,
2601.00055,ANID,FB210003,llm,
2601.00055,ANR,ANR-15-IDEX-01,llm,
2601.00055,ANR,ANR-24-CE92-0044,llm,
2601.00055,DFG,KL 1358/22-1,llm,
2601.00055,DFG,SCHI 536/13-1,llm,
2601.00055,HAP,113-2112-M-032-014-MY3,llm,
2601.00055,ERC,855130,llm,
2601.00055,German Excellence Strategy,EXC 2181 - 390900948,llm,
2601.00055,German Ministry for Economic Affairs and Climate Action,50OO2206,llm,
2601.00057,National Natural Science Foundation of China,12133005,llm,
2601.00057,China Manned Space Project,CMS-CSST-2025-A16,llm,
2601.00057,KASI,2024-1-832-01,llm,
2601.00057,"National Science Center (NCN), Poland",SONATA 2023/51/D/ST9/00187,llm,
2601.00057,European Union,101004719,llm,
2601.00057,European Union,101131928,llm,
2601.00057,NCN,2024/52/L/ST9/00210,llm,
2601.00057,China Postdoctoral Science Foundation,2024M762938,llm,
2601.00057,U.S. NSF,AST-2108414,llm,
2601.00057,BSF,2020740,llm,
2601.00057,National Research Foundation of Korea,2019R1A2C2085965,llm,
2601.00057,National Research Foundation of Korea,2020R1A4A2002885,llm,
2601.00057,Polish National Agency for Academic Exchange,Polish Returns 2019,llm,
2601.00057,Particle Physics and Astronomy Research Council,PP/D006511/1,llm,
2601.00057,Science and Technology Facilities Council,PP/D006546/1,llm,
2601.00057,Science and Technology Facilities Council,PP/D006570/1,llm,
2601.00057,Science and Technology Facilities Council,ST/I000852/1,llm,
2601.00057,Science and Technology Facilities Council,ST/J005045/1,llm,
2601.00057,Science and Technology Facilities Council,ST/K00056X/1,llm,
2601.00057,Science and Technology Facilities Council,ST/K000209/1,llm,
2601.00057,Science and Technology Facilities Council,ST/K000756/1,llm,
2601.00057,Science and Technology Facilities Council,ST/L006561/1,llm,
2601.00057,Science and Technology Facilities Council,ST/N000595/1,llm,
2601.00057,Science and Technology Facilities Council,ST/S000623/1,llm,
2601.00057,Science and Technology Facilities Council,ST/N000641/1,llm,
2601.00057,Science and Technology Facilities Council,ST/N000978/1,llm,
2601.00057,Science and Technology Facilities Council,ST/N001117/1,llm,
2601.00057,Science and Technology Facilities Council,ST/S000089,llm,
2601.00057,Science and Technology Facilities Council,ST/S000976,llm,
2601.00057,Science and Technology Facilities Council,ST/S001123,llm,
2601.00057,Science and Technology Facilities Council,ST/S001948,llm,
2601.00057,Science and Technology Facilities Council,ST/S002103,llm,
2601.00057,Science and Technology Facilities Council,ST/V000969,llm,
